t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 1.23287671232876712326E+0000  7.14347059075125681363E+0001  7.14347059075125681363E+0001  7.14347059075125681363E+0001  6.76537122774979601597E+0000  8.01039009307410980049E+0001  7.32704590881918345598E-0005  7.32704590881918345598E-0005  7.32704590881918345598E-0005  7.32841753867642394914E-0005  7.32018836024043085993E-0005
 1.26027397260273972600E+0000  9.90394292665453614063E+0001  9.90394292665453614063E+0001  9.90394292665453614063E+0001  3.46352449444458474481E+0001  9.72637068354972052706E+0001  7.32774794058358202012E-0005  7.32774794058358202012E-0005  7.32774794058358202012E-0005  7.32911971950327415241E-0005  7.32088967242123120023E-0005
 1.28767123287671232874E+0000  1.26549705951095966469E+0002  1.26549705951095966469E+0002  1.26549705951095966469E+0002  6.26181105684541721053E+0001  1.13520570710391593569E+0002  7.32821993825670337518E-0005  7.32821993825670337518E-0005  7.32821993825670337518E-0005  7.32959181411045274033E-0005  7.32136122248136423704E-0005
 1.31506849315068493147E+0000  1.54177792864197557993E+0002  1.54177792864197557993E+0002  1.54177792864197557993E+0002  9.07114001558781325105E+0001  1.29960792676392597980E+0002  7.32761853532085900522E-0005  7.32761853532085900522E-0005  7.32761853532085900522E-0005  7.32899027391537013249E-0005  7.32076054118584915685E-0005
 1.34246575342465753421E+0000  1.81723964280085009557E+0002  1.81723964280085009557E+0002  1.81723964280085009557E+0002  1.18262715183208270205E+0002  1.47450975817913478128E+0002  7.32695653540138729946E-0005  7.32695653540138729946E-0005  7.32695653540138729946E-0005  7.32832812395207934094E-0005  7.32009932416257188004E-0005
 1.36986301369863013695E+0000  2.09160839927575285438E+0002  2.09160839927575285438E+0002  2.09160839927575285438E+0002  1.45483739069725846613E+0002  1.65482396430464657203E+0002  7.32584267412623913988E-0005  7.32584267412623913988E-0005  7.32584267412623913988E-0005  7.32721401172792098990E-0005  7.31898676366384595659E-0005
 1.39726027397260273968E+0000  2.36739937710477060473E+0002  2.36739937710477060473E+0002  2.36739937710477060473E+0002  1.72947970999266746217E+0002  1.83478502930053404232E+0002  7.32537958634015566115E-0005  7.32537958634015566115E-0005  7.32537958634015566115E-0005  7.32675081474530516703E-0005  7.31852427024914687285E-0005
 1.42465753424657534242E+0000  2.64255747933730965493E+0002  2.64255747933730965493E+0002  2.64255747933730965493E+0002  2.00201120264357824985E+0002  2.01745662658125723674E+0002  7.32518611075473636135E-0005  7.32518611075473636135E-0005  7.32518611075473636135E-0005  7.32655729052241871053E-0005  7.31833107618220433757E-0005
 1.45205479452054794516E+0000  2.91721952082907732634E+0002  2.91721952082907732634E+0002  2.91721952082907732634E+0002  2.26999431727950522153E+0002  2.21075843621632452202E+0002  7.32573333123216082765E-0005  7.32573333123216082765E-0005  7.32573333123216082765E-0005  7.32710462389884072451E-0005  7.31887777185972030010E-0005
 1.47945205479452054789E+0000  3.19370312662511281421E+0002  3.19370312662511281421E+0002  3.19370312662511281421E+0002  2.53993937925822114529E+0002  2.40411533476837766449E+0002  7.32641800050906583309E-0005  7.32641800050906583309E-0005  7.32641800050906583309E-0005  7.32778943606260558432E-0005  7.31956176662929471355E-0005
 1.50684931506849315074E+0000  3.46969774611407617476E+0002  3.46969774611407617476E+0002  3.46969774611407617476E+0002  2.81307641209483355521E+0002  2.58481908150528231632E+0002  7.32735703207469864534E-0005  7.32735703207469864534E-0005  7.32735703207469864534E-0005  7.32872866727457356057E-0005  7.32049983274683898249E-0005
 1.53424657534246575348E+0000  1.45166228221324178672E+0001  1.45166228221324178672E+0001  1.45166228221324178672E+0001  3.08528333529681160791E+0002  2.76347593195845450176E+0002  7.32783344559371130724E-0005  7.32783344559371130724E-0005  7.32783344559371130724E-0005  7.32920518086285532234E-0005  7.32097576991977420948E-0005
 1.56164383561643835621E+0000  4.22020433428743141184E+0001  4.22020433428743141184E+0001  4.22020433428743141184E+0001  3.35815709139646153825E+0002  2.94311374993516405046E+0002  7.32791134906387993489E-0005  7.32791134906387993489E-0005  7.32791134906387993489E-0005  7.32928309819678979837E-0005  7.32105362300604633485E-0005
 1.58904109589041095895E+0000  6.98227387304911558605E+0001  6.98227387304911558605E+0001  6.98227387304911558605E+0001  3.57486938420067774545E+0000  3.10888761246590665410E+0002  7.32778732313553084299E-0005  7.32778732313553084299E-0005  7.32778732313553084299E-0005  7.32915904085471729298E-0005  7.32092978009058575130E-0005
 1.61643835616438356169E+0000  9.73817941151057100135E+0001  9.73817941151057100135E+0001  9.73817941151057100135E+0001  3.16356052713553034424E+0001  3.26269866727479196128E+0002  7.32673084693631102460E-0005  7.32673084693631102460E-0005  7.32673084693631102460E-0005  7.32810233064367280153E-0005  7.31987449343204727134E-0005
 1.64383561643835616442E+0000  1.25019456131406180716E+0002  1.25019456131406180716E+0002  1.25019456131406180716E+0002  5.97381167988649381187E+0001  3.41806957728220264625E+0002  7.32593901834515495612E-0005  7.32593901834515495612E-0005  7.32593901834515495612E-0005  7.32731032758445710898E-0005  7.31908354632401802738E-0005
 1.67123287671232876716E+0000  1.52482337711176161879E+0002  1.52482337711176161879E+0002  1.52482337711176161879E+0002  8.76885902116414878080E+0001  3.57186767502636525112E+0002  7.32478222188834435544E-0005  7.32478222188834435544E-0005  7.32478222188834435544E-0005  7.32615327495537798556E-0005  7.31792805195791522893E-0005
 1.69863013698630136990E+0000  1.79779050623985521537E+0002  1.79779050623985521537E+0002  1.79779050623985521537E+0002  1.15809145968386055667E+0002  1.13442028996642979592E+0001  7.32467929290862991289E-0005  7.32467929290862991289E-0005  7.32467929290862991289E-0005  7.32605031903453002202E-0005  7.31782528448193473611E-0005
 1.72602739726027397263E+0000  2.07067345147768123975E+0002  2.07067345147768123975E+0002  2.07067345147768123975E+0002  1.44176586381705797352E+0002  2.44631671264799042936E+0001  7.32475546046810711750E-0005  7.32475546046810711750E-0005  7.32475546046810711750E-0005  7.32612649961123205538E-0005  7.31790140866687948056E-0005
 1.75342465753424657537E+0000  2.34130089614872487422E+0002  2.34130089614872487422E+0002  2.34130089614872487422E+0002  1.72161143903665861649E+0002  3.76756408831114649773E+0001  7.32574559204394166310E-0005  7.32574559204394166310E-0005  7.32574559204394166310E-0005  7.32711684221245847335E-0005  7.31889051639774058671E-0005
 1.78082191780821917811E+0000  2.61173475434188335303E+0002  2.61173475434188335303E+0002  2.61173475434188335303E+0002  2.00181826437954664355E+0002  5.05484338032821677103E+0001  7.32640548358880623300E-0005  7.32640548358880623300E-0005  7.32640548358880623300E-0005  7.32777686979467267353E-0005  7.31954977631328190548E-0005
 1.80821917808219178084E+0000  2.88364810497763391389E+0002  2.88364810497763391389E+0002  2.88364810497763391389E+0002  2.28553680209196289491E+0002  6.28271420736429896774E+0001  7.32712080616069148403E-0005  7.32712080616069148403E-0005  7.32712080616069148403E-0005  7.32849233877750858655E-0005  7.32026442585021842280E-0005
 1.83561643835616438358E+0000  3.15444991160044022060E+0002  3.15444991160044022060E+0002  3.15444991160044022060E+0002  2.56687850763339480004E+0002  7.55561986660006009095E+0001  7.32703429132464955493E-0005  7.32703429132464955493E-0005  7.32703429132464955493E-0005  7.32840579547153016211E-0005  7.32017811083521999842E-0005
 1.86301369863013698632E+0000  3.42535467611408590505E+0002  3.42535467611408590505E+0002  3.42535467611408590505E+0002  2.84519562648548950012E+0002  8.95185158429177495615E+0001  7.32667808237894931690E-0005  7.32667808237894931690E-0005  7.32667808237894931690E-0005  7.32804949908168767613E-0005  7.31982239698449983286E-0005
 1.89041095890410958905E+0000  9.71597923521750419032E+0000  9.71597923521750419032E+0000  9.71597923521750419032E+0000  3.12345704246264701587E+0002  1.03932300879012321587E+0002  7.32567921818648335905E-0005  7.32567921818648335905E-0005  7.32567921818648335905E-0005  7.32705040409071113759E-0005  7.31882476265196061787E-0005
 1.91780821917808219179E+0000  3.67420659150482039369E+0001  3.67420659150482039369E+0001  3.67420659150482039369E+0001  3.40043845908241646442E+0002  1.18346300660512173744E+0002  7.32481886564216325612E-0005  7.32481886564216325612E-0005  7.32481886564216325612E-0005  7.32618985150357947598E-0005  7.31796548326107577664E-0005
 1.94520547945205479453E+0000  6.37627525699649149449E+0001  6.37627525699649149449E+0001  6.37627525699649149449E+0001  7.52275404210193907864E+0000  1.33633548553899142844E+0002  7.32403436323554201385E-0005  7.32403436323554201385E-0005  7.32403436323554201385E-0005  7.32540516842998502867E-0005  7.31718194033034009644E-0005
 1.97260273972602739726E+0000  9.08829465808751793751E+0001  9.08829465808751793751E+0001  9.08829465808751793751E+0001  3.47959824575498914111E+0001  1.50142473845894895729E+0002  7.32397186550231194155E-0005  7.32397186550231194155E-0005  7.32397186550231194155E-0005  7.32534264722948611282E-0005  7.31711961888474755077E-0005
 2.00000000000000000000E+0000  1.17872660297124321291E+0002  1.17872660297124321291E+0002  1.17872660297124321291E+0002  6.20231310068024913884E+0001  1.66301842134017661301E+0002  7.32453921138857541945E-0005  7.32453921138857541945E-0005  7.32453921138857541945E-0005  7.32591010780989845438E-0005  7.31768644651636627658E-0005
 2.02739726027397260274E+0000  1.44904097395338019708E+0002  1.44904097395338019708E+0002  1.44904097395338019708E+0002  8.94836512210986836854E+0001  1.82034058138101926372E+0002  7.32558811237073200656E-0005  7.32558811237073200656E-0005  7.32558811237073200656E-0005  7.32695923159639182194E-0005  7.31873427106967293969E-0005
 2.05479452054794520547E+0000  1.72050571821402783157E+0002  1.72050571821402783157E+0002  1.72050571821402783157E+0002  1.16964562580988567744E+0002  1.98812532257623660450E+0002  7.32665078681940724101E-0005  7.32665078681940724101E-0005  7.32665078681940724101E-0005  7.32802213320040903324E-0005  7.31979583940584911820E-0005
 2.08219178082191780821E+0000  1.98996585632446444797E+0002  1.98996585632446444797E+0002  1.98996585632446444797E+0002  1.44314414008460866465E+0002  2.16269510152678771778E+0002  7.32680489381017637219E-0005  7.32680489381017637219E-0005  7.32680489381017637219E-0005  7.32817626950491953400E-0005  7.31994982591935737788E-0005
 2.10958904109589041095E+0000  2.25835968684289639108E+0002  2.25835968684289639108E+0002  2.25835968684289639108E+0002  1.71771350375610049682E+0002  2.36373091893816621806E+0002  7.32666550895585245308E-0005  7.32666550895585245308E-0005  7.32666550895585245308E-0005  7.32803684881436671988E-0005  7.31981065261281161700E-0005
