t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 9.86301369863013698632E-0001  1.29071826324900569685E+0002  1.29071826324900569685E+0002  1.29071826324900569685E+0002  5.99480931621490578248E+0001  2.45321198845234505204E+0002  7.34529144108164966406E-0005  7.34529144108164966406E-0005  7.34529144108164966406E-0005  7.34666273128532288996E-0005  7.33843544705693423588E-0005
 1.01369863013698630137E+0000  1.65422352534241783262E+0002  1.65422352534241783262E+0002  1.65422352534241783262E+0002  9.67210106785729535270E+0001  2.70588775789478562572E+0002  7.34586398254119833941E-0005  7.34586398254119833941E-0005  7.34586398254119833941E-0005  7.34723539451130046508E-0005  7.33900739935664189084E-0005
 1.04109589041095890411E+0000  2.01786724921032898608E+0002  2.01786724921032898608E+0002  2.01786724921032898608E+0002  1.33101737099436992995E+0002  2.99182790911313219312E+0002  7.34590602941131181091E-0005  7.34590602941131181091E-0005  7.34590602941131181091E-0005  7.34727744829221753466E-0005  7.33904942531805891705E-0005
 1.06849315068493150684E+0000  2.38159281368234133885E+0002  2.38159281368234133885E+0002  2.38159281368234133885E+0002  1.69757842710740477668E+0002  9.60950019641382576982E+0000  7.34541635074648072188E-0005  7.34541635074648072188E-0005  7.34541635074648072188E-0005  7.34678765930688870317E-0005  7.33856031851691728911E-0005
 1.09589041095890410958E+0000  2.74572783770831543665E+0002  2.74572783770831543665E+0002  2.74572783770831543665E+0002  2.06990349665962333398E+0002  3.32441497575528335934E+0002  7.34444975656999519658E-0005  7.34444975656999519658E-0005  7.34444975656999519658E-0005  7.34582085139534879647E-0005  7.33759480889235384515E-0005
 1.12328767123287671232E+0000  3.11050986968309337438E+0002  3.11050986968309337438E+0002  3.11050986968309337438E+0002  2.44158309275709321781E+0002  1.57441432384535355397E+0000  7.34354928925900997746E-0005  7.34354928925900997746E-0005  7.34354928925900997746E-0005  7.34492018620384229851E-0005  7.33669533847462334448E-0005
 1.15068493150684931505E+0000  3.47668616882831158693E+0002  3.47668616882831158693E+0002  3.47668616882831158693E+0002  2.81153672548514571405E+0002  2.87262992249067381431E+0001  7.34312709146266607117E-0005  7.34312709146266607117E-0005  7.34312709146266607117E-0005  7.34449789394614411293E-0005  7.33627362663061594009E-0005
 1.17808219178082191779E+0000  2.45002747046310702540E+0001  2.45002747046310702540E+0001  2.45002747046310702540E+0001  3.18535179992633914109E+0002  5.51821135488185425151E+0001  7.34400815094918153282E-0005  7.34400815094918153282E-0005  7.34400815094918153282E-0005  7.34537914272011764884E-0005  7.33715375829374843788E-0005
 1.20547945205479452053E+0000  6.15767046581342997955E+0001  6.15767046581342997955E+0001  6.15767046581342997955E+0001  3.56427345990535732467E+0002  8.09010309452739930641E+0001  7.34523192365878076489E-0005  7.34523192365878076489E-0005  7.34523192365878076489E-0005  7.34660317989337826348E-0005  7.33837622540154360166E-0005
 1.23287671232876712326E+0000  9.88710556533590871897E+0001  9.88710556533590871897E+0001  9.88710556533590871897E+0001  3.42017209735963150681E+0001  1.07540250676587617058E+0002  7.34695614231398704146E-0005  7.34695614231398704146E-0005  7.34695614231398704146E-0005  7.34832777217122753462E-0005  7.34009859373523444541E-0005
 1.26027397260273972600E+0000  1.36317742889791363919E+0002  1.36317742889791363919E+0002  1.36317742889791363919E+0002  7.19135585676918499612E+0001  1.34542020458743207784E+0002  7.34765817407610359428E-0005  7.34765817407610359428E-0005  7.34765817407610359428E-0005  7.34902995299579572657E-0005  7.34079990591375277439E-0005
 1.28767123287671232874E+0000  1.73761367291359691292E+0002  1.73761367291359691292E+0002  1.73761367291359691292E+0002  1.09829771908717896738E+0002  1.60732232050655318198E+0002  7.34813017174748865489E-0005  7.34813017174748865489E-0005  7.34813017174748865489E-0005  7.34950204760123802003E-0005  7.34127145597214951675E-0005
 1.31506849315068493147E+0000  2.11179694208221813076E+0002  2.11179694208221813076E+0002  2.11179694208221813076E+0002  1.47713301499902387587E+0002  1.86962694020416853063E+0002  7.34752876881301141199E-0005  7.34752876881301141199E-0005  7.34752876881301141199E-0005  7.34890050740752253926E-0005  7.34067077467800156361E-0005
 1.34246575342465753421E+0000  2.48573187367621851226E+0002  2.48573187367621851226E+0002  2.48573187367621851226E+0002  1.85111938270745111867E+0002  2.14300198905450319783E+0002  7.34686676889510845757E-0005  7.34686676889510845757E-0005  7.34686676889510845757E-0005  7.34823835744580049905E-0005  7.34000955765629303814E-0005
 1.36986301369863013695E+0000  2.85942276154299244856E+0002  2.85942276154299244856E+0002  2.85942276154299244856E+0002  2.22265175296449806017E+0002  2.42263832657188616621E+0002  7.34575290762269179528E-0005  7.34575290762269179528E-0005  7.34575290762269179528E-0005  7.34712424522437364529E-0005  7.33889699716029861199E-0005
 1.39726027397260273968E+0000  3.23307819860371091270E+0002  3.23307819860371091270E+0002  3.23307819860371091270E+0002  2.59515853149160777014E+0002  2.70046385079947435015E+0002  7.34528981983744439298E-0005  7.34528981983744439298E-0005  7.34528981983744439298E-0005  7.34666104824259389887E-0005  7.33843450374643560469E-0005
 1.42465753424657534242E+0000  6.77225261933680720014E-0001  6.77225261933680720014E-0001  6.77225261933680720014E-0001  2.96622603733498600098E+0002  2.98167146127266498801E+0002  7.34509634425218881076E-0005  7.34509634425218881076E-0005  7.34509634425218881076E-0005  7.34646752401987115994E-0005  7.33824130967965678698E-0005
 1.45205479452054794516E+0000  3.80711622142070464231E+0001  3.80711622142070464231E+0001  3.80711622142070464231E+0001  3.33348648000187895823E+0002  3.27425059893869825678E+0002  7.34564356472763299609E-0005  7.34564356472763299609E-0005  7.34564356472763299609E-0005  7.34701485739431289294E-0005  7.33878800535519246853E-0005
